index,arm,decision_date,return_date,hard_regime,asset_simple_return,pretrade_exposure,exposure,net_return_after_trading_costs,net_log_return_after_trading_costs,gross_return_before_trading_costs,turnover,cost_fraction,trading_cost_in_wealth_units,wealth_before,wealth_after,action,beta,core_desired_exposure,desired_exposure,shadow_pretrade_exposure,shadow_exposure,shadow_net_return,reference_net_return,shadow_log_advantage_vs_ramoe,valid,error,confidence,cited_memory_ids,cited_memory_count,retrieved_memory_ids,retrieved_memory_count,memory_total_before,retrieved_memory_cross_year_count,retrieved_memory_cross_regime_count,retrieved_memory_max_age_days,request_sha256,latency_seconds,input_token_count,output_token_count,action_headroom,projection_changes_selected_target,advisor,trust_mode,memory_mode,risk_mode,preview_btc_desired_exposure,preview_btc_exposure,preview_cash_desired_exposure,preview_cash_exposure,preview_abstain_desired_exposure,preview_abstain_exposure
0,numerical_frozen_W,2021-01-01,2021-01-02,bull,0.096505778289435407,0,0.35000000000000003,0.033415200443461801,0.032869045920366616,0.033777022401302398,0.35000000000000003,0.00035000000000000005,0.00035000000000000005,1,1.0334152004434618,ABSTAIN,0,0.49999999999999994,0.49999999999999994,0,0.35000000000000003,0.033415200443461801,0.033415200443461801,0,True,,0,[],0,[],0,0,0,0,,200ce6d21f42f092d8e8903c0cb4958f892b76051079134613ca36f9a1827247,0,0,0,False,True,abstain,fixed,none,standard,0.49999999999999994,0.35000000000000003,0.49999999999999994,0.35000000000000003,0.49999999999999994,0.35000000000000003
1,numerical_frozen_W,2021-01-02,2021-01-03,bull,0.0237813458079787,0.37123771769452607,0.5,0.011760379551502664,0.01169176372937146,0.01189067290398935,0.12876228230547393,0.00012876228230547393,0.00013306489977826894,1.0334152004434618,1.0455685554349692,ABSTAIN,0,0.5,0.5,0.37123771769452607,0.5,0.011760379551502664,0.0117603795515026,6.4184768611141862e-17,True,,0,[],0,[],0,1,0,0,,49d4681cf8c46477278762c2ae4215c8d8a09d8d346373ab75dd1dc063a53982,0,0,0,False,False,abstain,fixed,none,standard,0.5,0.5,0.5,0.5,0.5,0.5
2,numerical_frozen_W,2021-01-03,2021-01-04,bull,-0.028408108280312799,0.50587547312293368,0.5,-0.014209846157740902,-0.014311772747898485,-0.014204054140156399,0.0058754731229336832,5.8754731229336832e-06,6.143209945642759e-06,1.0455685554349692,1.0307111871148669,ABSTAIN,0,0.5,0.5,0.50587547312293368,0.5,-0.014209846157740902,-0.014209846157741001,1.0061396160665481e-16,True,,0,[],0,[],0,2,0,0,,be41d29c9040693b5faf301cbc0526891127d8db3c691a1f9e77d6f9dc67915b,0,0,0,False,False,abstain,fixed,none,standard,0.5,0.5,0.5,0.5,0.5,0.5
3,numerical_frozen_W,2021-01-04,2021-01-05,bull,0.061484701429615297,0.49279564183652264,0.5,0.030734924877738878,0.030272067106446941,0.030742350714807649,0.0072043581634773646,7.2043581634773649e-06,7.4256125550784365e-06,1.0307111871148669,1.0623900180214874,ABSTAIN,0,0.49999999999999994,0.49999999999999994,0.49279564183652264,0.5,0.030734924877738878,0.030734924877738799,7.6327832942979512e-17,True,,0,[],0,[],0,3,0,0,,4d4a1826558ec359312cb8fbb920a75c10bb50b4f922737f965d9d23b66243fb,0,0,0,False,False,abstain,fixed,none,standard,0.49999999999999994,0.5,0.49999999999999994,0.5,0.49999999999999994,0.5
4,numerical_frozen_W,2021-01-05,2021-01-06,bull,0.082423547063236402,0.51491272319095471,0.5,0.041196246228656364,0.040370288896138924,0.041211773531618201,0.014912723190954713,1.4912723190954713e-05,1.584312825958783e-05,1.0623900180214874,1.1061564987947672,ABSTAIN,0,0.49999999999999994,0.49999999999999994,0.51491272319095471,0.5,0.041196246228656364,0.041196246228656301,6.2450045135165055e-17,True,,0,[],0,[],0,4,0,0,,169e6aff9c5f9af8ca1579233ead57b282abb0560e32d66d13f1f26eb03f5dfc,0,0,0,False,False,abstain,fixed,none,standard,0.49999999999999994,0.5,0.49999999999999994,0.5,0.49999999999999994,0.5
5,numerical_frozen_W,2021-01-06,2021-01-07,bull,0.072486220279834396,0.5197902936651565,0.5,0.036222602584458974,0.035581988116122738,0.036243110139917198,0.0197902936651565,1.9790293665156501e-05,2.1891161950769775e-05,1.1061564987947672,1.1462243660468265,ABSTAIN,0,0.49999999999999994,0.49999999999999994,0.5197902936651565,0.5,0.036222602584458974,0.036222602584458898,7.6327832942979512e-17,True,,0,[],0,[],0,5,0,0,,bf98c308e1e731c8a2845d79f7685a25f6429e86a4d5e07a2c6bc0e017e047d6,0,0,0,False,False,abstain,fixed,none,standard,0.49999999999999994,0.5,0.49999999999999994,0.5,0.49999999999999994,0.5
6,numerical_frozen_W,2021-01-07,2021-01-08,bull,0.0288670609880337,0.51748774480875614,0.5,0.014415790339310064,0.014312870765900982,0.01443353049401685,0.017487744808756145,1.7487744808756144e-05,2.0044879207005194e-05,1.1462243660468265,1.1627480961895662,ABSTAIN,0,0.5,0.5,0.51748774480875614,0.5,0.014415790339310064,0.01441579033931,6.4184768611141862e-17,True,,0,[],0,[],0,6,0,0,,80546df896add25ed88115b66e34bed6e4eaa0c6218f0fb148769bf9aafa9167,0,0,0,False,False,abstain,fixed,none,standard,0.5,0.5,0.5,0.5,0.5,0.5
7,numerical_frozen_W,2021-01-08,2021-01-09,bull,-0.0110198944316773,0.50711408390009938,0.5,-0.0055170221015119481,-0.0055322970754312336,-0.0055099472158386502,0.0071140839000993772,7.1140839000993771e-06,8.2718875109733952e-06,1.1627480961895662,1.1563331892443973,ABSTAIN,0,0.5,0.5,0.50711408390009938,0.5,-0.0055170221015119481,-0.0055170221015119003,-4.8572257327350599e-17,True,,0,[],0,[],0,7,0,0,,b1dcac17ec9d8189dbaefd5ea98b585b3d80a367fb10f555b68ac5aae149e11c,0,0,0,False,False,abstain,fixed,none,standard,0.5,0.5,0.5,0.5,0.5,0.5
8,numerical_frozen_W,2021-01-09,2021-01-10,bull,-0.048807154829534898,0.4972297625298448,0.5,-0.024406280048533069,-0.02470904977520768,-0.024403577414767449,0.0027702374701552013,2.7702374701552014e-06,3.203317528828895e-06,1.1563331892443973,1.1281113975982853,ABSTAIN,0,0.5,0.5,0.4972297625298448,0.5,-0.024406280048533069,-0.0244062800485331,3.1225022567582528e-17,True,,0,[],0,[],0,8,0,0,,250b28e6f3647ca6ed15d54832f99c5d92c34caa70eb41d619f376c79ebefcc6,0,0,0,False,False,abstain,fixed,none,standard,0.5,0.5,0.5,0.5,0.5,0.5
9,numerical_frozen_W,2021-01-10,2021-01-11,bull,-0.069330910500049497,0.48749299564357745,0.5,-0.034677528693381254,-0.035293066307442264,-0.034665455250024749,0.012507004356422546,1.2507004356422547e-05,1.410929416429168e-05,1.1281113975982853,1.0889912822387402,ABSTAIN,0,0.5,0.5,0.48749299564357745,0.5,-0.034677528693381254,-0.034677528693381199,-6.2450045135165055e-17,True,,0,[],0,[],0,9,0,0,,1436a2445d810c3cc1d7619638bf9bf550b4c88cc5c1024f4518748ff642f3cd,0,0,0,False,False,abstain,fixed,none,standard,0.5,0.5,0.5,0.5,0.5,0.5
